"title"|"film_language"|"category"|"first_name"|"last_name"|"length"|"rating"|"rental_rate"|"replacement_cost"|"total_earning"
"Dogma Family"|"English             "|"Animation"|"Groucho"|"Sinatra"|122|"G"|4,99|16,99|168,72
"Dogma Family"|"English             "|"Animation"|"Gina"|"Degeneres"|122|"G"|4,99|16,99|168,72
"Dogma Family"|"English             "|"Animation"|"Christopher"|"West"|122|"G"|4,99|16,99|168,72
"Dogma Family"|"English             "|"Animation"|"Sidney"|"Crowe"|122|"G"|4,99|16,99|168,72
"Dogma Family"|"English             "|"Animation"|"River"|"Dean"|122|"G"|4,99|16,99|168,72
"Dogma Family"|"English             "|"Animation"|"Kirk"|"Jovovich"|122|"G"|4,99|16,99|168,72
"Pelican Comforts"|"English             "|"Documentary"|"Whoopi"|"Hurt"|48|"PG"|4,99|17,99|165,77
"Pelican Comforts"|"English             "|"Documentary"|"Julia"|"Barrymore"|48|"PG"|4,99|17,99|165,77
"Pelican Comforts"|"English             "|"Documentary"|"Groucho"|"Sinatra"|48|"PG"|4,99|17,99|165,77
"Pelican Comforts"|"English             "|"Documentary"|"Bob"|"Fawcett"|48|"PG"|4,99|17,99|165,77
"Pelican Comforts"|"English             "|"Documentary"|"Russell"|"Temple"|48|"PG"|4,99|17,99|165,77
"Goodfellas Salute"|"English             "|"Sci-Fi"|"Johnny"|"Lollobrigida"|56|"PG"|4,99|22,99|164,75
"Goodfellas Salute"|"English             "|"Sci-Fi"|"Gina"|"Degeneres"|56|"PG"|4,99|22,99|164,75
"Goodfellas Salute"|"English             "|"Sci-Fi"|"Nick"|"Wahlberg"|56|"PG"|4,99|22,99|164,75
"Goodfellas Salute"|"English             "|"Sci-Fi"|"Reese"|"West"|56|"PG"|4,99|22,99|164,75
"Goodfellas Salute"|"English             "|"Sci-Fi"|"Frances"|"Tomei"|56|"PG"|4,99|22,99|164,75
"Goodfellas Salute"|"English             "|"Sci-Fi"|"Elvis"|"Marx"|56|"PG"|4,99|22,99|164,75
"Goodfellas Salute"|"English             "|"Sci-Fi"|"Ben"|"Willis"|56|"PG"|4,99|22,99|164,75
"Goodfellas Salute"|"English             "|"Sci-Fi"|"Susan"|"Davis"|56|"PG"|4,99|22,99|164,75
"Fool Mockingbird"|"English             "|"Action"|"Natalie"|"Hopkins"|158|"PG"|4,99|24,99|162,79
"Fool Mockingbird"|"English             "|"Action"|"Rip"|"Crawford"|158|"PG"|4,99|24,99|162,79
"Apache Divine"|"English             "|"Family"|"Anne"|"Cronyn"|92|"NC-17"|4,99|16,99|160,72
"Apache Divine"|"English             "|"Family"|"Cuba"|"Olivier"|92|"NC-17"|4,99|16,99|160,72
"Apache Divine"|"English             "|"Family"|"Henry"|"Berry"|92|"NC-17"|4,99|16,99|160,72
"Apache Divine"|"English             "|"Family"|"Nick"|"Wahlberg"|92|"NC-17"|4,99|16,99|160,72
"Enemy Odds"|"English             "|"Music"|"Liza"|"Bergman"|77|"NC-17"|4,99|23,99|159,75
"Enemy Odds"|"English             "|"Music"|"Vivien"|"Bergen"|77|"NC-17"|4,99|23,99|159,75
"Enemy Odds"|"English             "|"Music"|"Bela"|"Walken"|77|"NC-17"|4,99|23,99|159,75
"Enemy Odds"|"English             "|"Music"|"Ewan"|"Gooding"|77|"NC-17"|4,99|23,99|159,75
"Cat Coneheads"|"English             "|"Comedy"|"Laura"|"Brody"|112|"G"|4,99|14,99|159,73
"Cat Coneheads"|"English             "|"Comedy"|"Angela"|"Witherspoon"|112|"G"|4,99|14,99|159,73
"Cat Coneheads"|"English             "|"Comedy"|"Helen"|"Voight"|112|"G"|4,99|14,99|159,73
"Cat Coneheads"|"English             "|"Comedy"|"Renee"|"Ball"|112|"G"|4,99|14,99|159,73
"Scorpion Apollo"|"English             "|"Drama"|"Matthew"|"Johansson"|137|"NC-17"|4,99|23,99|158,79
"Scorpion Apollo"|"English             "|"Drama"|"Bob"|"Fawcett"|137|"NC-17"|4,99|23,99|158,79
"Scorpion Apollo"|"English             "|"Drama"|"Groucho"|"Williams"|137|"NC-17"|4,99|23,99|158,79
"Scorpion Apollo"|"English             "|"Drama"|"Henry"|"Berry"|137|"NC-17"|4,99|23,99|158,79
"Scorpion Apollo"|"English             "|"Drama"|"Julia"|"Mcqueen"|137|"NC-17"|4,99|23,99|158,79
"Scorpion Apollo"|"English             "|"Drama"|"Kevin"|"Garland"|137|"NC-17"|4,99|23,99|158,79
"Scorpion Apollo"|"English             "|"Drama"|"Liza"|"Bergman"|137|"NC-17"|4,99|23,99|158,79
"Scorpion Apollo"|"English             "|"Drama"|"Sean"|"Guiness"|137|"NC-17"|4,99|23,99|158,79
"Range Moonwalker"|"English             "|"Family"|"Burt"|"Dukakis"|147|"PG"|4,99|25,99|158,77
"Range Moonwalker"|"English             "|"Family"|"Russell"|"Close"|147|"PG"|4,99|25,99|158,77
"Range Moonwalker"|"English             "|"Family"|"Rip"|"Crawford"|147|"PG"|4,99|25,99|158,77
"Range Moonwalker"|"English             "|"Family"|"Penelope"|"Monroe"|147|"PG"|4,99|25,99|158,77
"Scalawag Duck"|"English             "|"Music"|"Reese"|"Kilmer"|183|"NC-17"|4,99|13,99|157,71
"Scalawag Duck"|"English             "|"Music"|"Jude"|"Cruise"|183|"NC-17"|4,99|13,99|157,71
"Scalawag Duck"|"English             "|"Music"|"Groucho"|"Sinatra"|183|"NC-17"|4,99|13,99|157,71
"Scalawag Duck"|"English             "|"Music"|"Christian"|"Neeson"|183|"NC-17"|4,99|13,99|157,71
"Scalawag Duck"|"English             "|"Music"|"Chris"|"Depp"|183|"NC-17"|4,99|13,99|157,71
"Sunrise League"|"English             "|"Animation"|"Tom"|"Miranda"|135|"PG-13"|4,99|19,99|155,78
"Sunrise League"|"English             "|"Animation"|"Joe"|"Swank"|135|"PG-13"|4,99|19,99|155,78
"Sunrise League"|"English             "|"Animation"|"Johnny"|"Lollobrigida"|135|"PG-13"|4,99|19,99|155,78
"Sunrise League"|"English             "|"Animation"|"Russell"|"Bacall"|135|"PG-13"|4,99|19,99|155,78
"Sunrise League"|"English             "|"Animation"|"Sean"|"Williams"|135|"PG-13"|4,99|19,99|155,78
"Lola Agent"|"English             "|"Horror"|"Lucille"|"Tracy"|85|"PG"|4,99|24,99|154,77
"Lola Agent"|"English             "|"Horror"|"Scarlett"|"Damon"|85|"PG"|4,99|24,99|154,77
"Lola Agent"|"English             "|"Horror"|"Kim"|"Allen"|85|"PG"|4,99|24,99|154,77
"Lola Agent"|"English             "|"Horror"|"Geoffrey"|"Heston"|85|"PG"|4,99|24,99|154,77
"Lola Agent"|"English             "|"Horror"|"Woody"|"Jolie"|85|"PG"|4,99|24,99|154,77
"Lola Agent"|"English             "|"Horror"|"Tom"|"Miranda"|85|"PG"|4,99|24,99|154,77
"Maiden Home"|"English             "|"New"|"Woody"|"Jolie"|138|"PG"|4,99|9,99|152,78
"Maiden Home"|"English             "|"New"|"Christian"|"Akroyd"|138|"PG"|4,99|9,99|152,78
"Maiden Home"|"English             "|"New"|"Daryl"|"Wahlberg"|138|"PG"|4,99|9,99|152,78
"Maiden Home"|"English             "|"New"|"Gregory"|"Gooding"|138|"PG"|4,99|9,99|152,78
"Maiden Home"|"English             "|"New"|"Henry"|"Berry"|138|"PG"|4,99|9,99|152,78
"Maiden Home"|"English             "|"New"|"Jayne"|"Nolte"|138|"PG"|4,99|9,99|152,78
"Maiden Home"|"English             "|"New"|"Kenneth"|"Torn"|138|"PG"|4,99|9,99|152,78
"Maiden Home"|"English             "|"New"|"Woody"|"Hoffman"|138|"PG"|4,99|9,99|152,78
"Velvet Terminator"|"English             "|"Comedy"|"Meryl"|"Allen"|173|"R"|4,99|14,99|152,77
"Velvet Terminator"|"English             "|"Comedy"|"Angela"|"Hudson"|173|"R"|4,99|14,99|152,77
"Velvet Terminator"|"English             "|"Comedy"|"Cary"|"Mcconaughey"|173|"R"|4,99|14,99|152,77
"Velvet Terminator"|"English             "|"Comedy"|"Cuba"|"Allen"|173|"R"|4,99|14,99|152,77
"Velvet Terminator"|"English             "|"Comedy"|"Daryl"|"Crawford"|173|"R"|4,99|14,99|152,77
"Velvet Terminator"|"English             "|"Comedy"|"Johnny"|"Cage"|173|"R"|4,99|14,99|152,77
"Velvet Terminator"|"English             "|"Comedy"|"Zero"|"Cage"|173|"R"|4,99|14,99|152,77
"Velvet Terminator"|"English             "|"Comedy"|"Sean"|"Williams"|173|"R"|4,99|14,99|152,77
"Velvet Terminator"|"English             "|"Comedy"|"Minnie"|"Kilmer"|173|"R"|4,99|14,99|152,77
"Closer Bang"|"English             "|"Comedy"|"Russell"|"Temple"|58|"R"|4,99|12,99|152,76
"Closer Bang"|"English             "|"Comedy"|"Julia"|"Fawcett"|58|"R"|4,99|12,99|152,76
"Closer Bang"|"English             "|"Comedy"|"Kirsten"|"Paltrow"|58|"R"|4,99|12,99|152,76
"Closer Bang"|"English             "|"Comedy"|"Ed"|"Guiness"|58|"R"|4,99|12,99|152,76
"Closer Bang"|"English             "|"Comedy"|"Greta"|"Malden"|58|"R"|4,99|12,99|152,76
"Closer Bang"|"English             "|"Comedy"|"Jodie"|"Degeneres"|58|"R"|4,99|12,99|152,76
"Bucket Brotherhood"|"English             "|"Travel"|"Charlize"|"Dench"|133|"PG"|4,99|27,99|150,72
"Bucket Brotherhood"|"English             "|"Travel"|"Kirsten"|"Akroyd"|133|"PG"|4,99|27,99|150,72
"Bucket Brotherhood"|"English             "|"Travel"|"Rip"|"Crawford"|133|"PG"|4,99|27,99|150,72
"Bucket Brotherhood"|"English             "|"Travel"|"Tim"|"Hackman"|133|"PG"|4,99|27,99|150,72
"Bucket Brotherhood"|"English             "|"Travel"|"Burt"|"Temple"|133|"PG"|4,99|27,99|150,72
"Bucket Brotherhood"|"English             "|"Travel"|"Gary"|"Phoenix"|133|"PG"|4,99|27,99|150,72
"Sting Personal"|"English             "|"New"|"Kevin"|"Garland"|93|"NC-17"|4,99|9,99|149,8
"Sting Personal"|"English             "|"New"|"Harrison"|"Bale"|93|"NC-17"|4,99|9,99|149,8
"Sting Personal"|"English             "|"New"|"Spencer"|"Depp"|93|"NC-17"|4,99|9,99|149,8
"Sting Personal"|"English             "|"New"|"Ben"|"Harris"|93|"NC-17"|4,99|9,99|149,8
"Sting Personal"|"English             "|"New"|"Gene"|"Willis"|93|"NC-17"|4,99|9,99|149,8
"Sting Personal"|"English             "|"New"|"Audrey"|"Olivier"|93|"NC-17"|4,99|9,99|149,8
"Sting Personal"|"English             "|"New"|"Grace"|"Mostel"|93|"NC-17"|4,99|9,99|149,8
"Titanic Boondock"|"English             "|"Animation"|"Will"|"Wilson"|104|"R"|4,99|18,99|149,78
"Titanic Boondock"|"English             "|"Animation"|"Bette"|"Nicholson"|104|"R"|4,99|18,99|149,78
"Titanic Boondock"|"English             "|"Animation"|"Dan"|"Harris"|104|"R"|4,99|18,99|149,78
"Titanic Boondock"|"English             "|"Animation"|"Ewan"|"Gooding"|104|"R"|4,99|18,99|149,78
"Titanic Boondock"|"English             "|"Animation"|"Geoffrey"|"Heston"|104|"R"|4,99|18,99|149,78
"Titanic Boondock"|"English             "|"Animation"|"Jayne"|"Nolte"|104|"R"|4,99|18,99|149,78
"Titanic Boondock"|"English             "|"Animation"|"Julianne"|"Dench"|104|"R"|4,99|18,99|149,78
"Titanic Boondock"|"English             "|"Animation"|"Mary"|"Keitel"|104|"R"|4,99|18,99|149,78
"Titanic Boondock"|"English             "|"Animation"|"Matthew"|"Carrey"|104|"R"|4,99|18,99|149,78
"Titanic Boondock"|"English             "|"Animation"|"Olympia"|"Pfeiffer"|104|"R"|4,99|18,99|149,78
"Titanic Boondock"|"English             "|"Animation"|"Penelope"|"Cronyn"|104|"R"|4,99|18,99|149,78
"Titanic Boondock"|"English             "|"Animation"|"Warren"|"Nolte"|104|"R"|4,99|18,99|149,78
"Massacre Usual"|"English             "|"Games"|"Fay"|"Winslet"|165|"R"|4,99|16,99|149,75
"Massacre Usual"|"English             "|"Games"|"Spencer"|"Depp"|165|"R"|4,99|16,99|149,75
"Massacre Usual"|"English             "|"Games"|"Gene"|"Mckellen"|165|"R"|4,99|16,99|149,75
"Nightmare Chill"|"English             "|"Games"|"Walter"|"Torn"|149|"PG"|4,99|25,99|148,79
"Nightmare Chill"|"English             "|"Games"|"Gene"|"Hopkins"|149|"PG"|4,99|25,99|148,79
"Videotape Arsenic"|"English             "|"Games"|"Christopher"|"Berry"|145|"NC-17"|4,99|10,99|148,76
"Videotape Arsenic"|"English             "|"Games"|"Susan"|"Davis"|145|"NC-17"|4,99|10,99|148,76
"Videotape Arsenic"|"English             "|"Games"|"Ian"|"Tandy"|145|"NC-17"|4,99|10,99|148,76
"Videotape Arsenic"|"English             "|"Games"|"Russell"|"Close"|145|"NC-17"|4,99|10,99|148,76
"Videotape Arsenic"|"English             "|"Games"|"Ralph"|"Cruz"|145|"NC-17"|4,99|10,99|148,76
"American Circus"|"English             "|"Action"|"Kevin"|"Bloom"|129|"R"|4,99|17,99|146,81
"American Circus"|"English             "|"Action"|"Warren"|"Jackman"|129|"R"|4,99|17,99|146,81
"American Circus"|"English             "|"Action"|"Sidney"|"Crowe"|129|"R"|4,99|17,99|146,81
"American Circus"|"English             "|"Action"|"Frances"|"Tomei"|129|"R"|4,99|17,99|146,81
"American Circus"|"English             "|"Action"|"Rip"|"Crawford"|129|"R"|4,99|17,99|146,81
"Witches Panic"|"English             "|"Drama"|"Ralph"|"Cruz"|100|"NC-17"|4,99|10,99|146,75
"Witches Panic"|"English             "|"Drama"|"Reese"|"West"|100|"NC-17"|4,99|10,99|146,75
"Witches Panic"|"English             "|"Drama"|"Spencer"|"Depp"|100|"NC-17"|4,99|10,99|146,75
"Witches Panic"|"English             "|"Drama"|"Walter"|"Torn"|100|"NC-17"|4,99|10,99|146,75
"Show Lord"|"English             "|"Documentary"|"Kevin"|"Garland"|167|"PG-13"|4,99|24,99|145,78
"Show Lord"|"English             "|"Documentary"|"Kenneth"|"Paltrow"|167|"PG-13"|4,99|24,99|145,78
"Minds Truman"|"English             "|"Action"|"Anne"|"Cronyn"|149|"PG-13"|4,99|22,99|144,81
"Minds Truman"|"English             "|"Action"|"Chris"|"Depp"|149|"PG-13"|4,99|22,99|144,81
"Minds Truman"|"English             "|"Action"|"Julia"|"Zellweger"|149|"PG-13"|4,99|22,99|144,81
"Minds Truman"|"English             "|"Action"|"Matthew"|"Carrey"|149|"PG-13"|4,99|22,99|144,81
"Minds Truman"|"English             "|"Action"|"Scarlett"|"Damon"|149|"PG-13"|4,99|22,99|144,81
"Minds Truman"|"English             "|"Action"|"Burt"|"Posey"|149|"PG-13"|4,99|22,99|144,81
"Working Microcosmos"|"English             "|"Travel"|"Kenneth"|"Torn"|74|"R"|4,99|22,99|144,78
"Working Microcosmos"|"English             "|"Travel"|"Rock"|"Dukakis"|74|"R"|4,99|22,99|144,78
"Working Microcosmos"|"English             "|"Travel"|"Geoffrey"|"Heston"|74|"R"|4,99|22,99|144,78
"Working Microcosmos"|"English             "|"Travel"|"Val"|"Bolger"|74|"R"|4,99|22,99|144,78
"Working Microcosmos"|"English             "|"Travel"|"Lucille"|"Dee"|74|"R"|4,99|22,99|144,78
"Wonderland Christmas"|"English             "|"Sci-Fi"|"Woody"|"Jolie"|111|"PG"|4,99|19,99|142,79
"Head Stranger"|"English             "|"Games"|"Jessica"|"Bailey"|69|"R"|4,99|28,99|142,79
"Head Stranger"|"English             "|"Games"|"Gary"|"Phoenix"|69|"R"|4,99|28,99|142,79
"Wonderland Christmas"|"English             "|"Sci-Fi"|"Cuba"|"Olivier"|111|"PG"|4,99|19,99|142,79
"Wonderland Christmas"|"English             "|"Sci-Fi"|"Chris"|"Bridges"|111|"PG"|4,99|19,99|142,79
"Wonderland Christmas"|"English             "|"Sci-Fi"|"Harrison"|"Bale"|111|"PG"|4,99|19,99|142,79
"Wonderland Christmas"|"English             "|"Sci-Fi"|"Humphrey"|"Garland"|111|"PG"|4,99|19,99|142,79
"Whisperer Giant"|"English             "|"Sci-Fi"|"Jessica"|"Bailey"|59|"PG-13"|4,99|24,99|141,8
"Whisperer Giant"|"English             "|"Sci-Fi"|"Milla"|"Peck"|59|"PG-13"|4,99|24,99|141,8
"Whisperer Giant"|"English             "|"Sci-Fi"|"Bela"|"Walken"|59|"PG-13"|4,99|24,99|141,8
"Forrester Comancheros"|"English             "|"Animation"|"Reese"|"Kilmer"|112|"NC-17"|4,99|22,99|141,74
"Forrester Comancheros"|"English             "|"Animation"|"Kirk"|"Jovovich"|112|"NC-17"|4,99|22,99|141,74
"Forrester Comancheros"|"English             "|"Animation"|"Sean"|"Guiness"|112|"NC-17"|4,99|22,99|141,74
"Backlash Undefeated"|"English             "|"Children"|"Christopher"|"Berry"|118|"PG-13"|4,99|24,99|140,84
"Backlash Undefeated"|"English             "|"Children"|"Christian"|"Akroyd"|118|"PG-13"|4,99|24,99|140,84
"Backlash Undefeated"|"English             "|"Children"|"Sylvester"|"Dern"|118|"PG-13"|4,99|24,99|140,84
"Backlash Undefeated"|"English             "|"Children"|"Spencer"|"Peck"|118|"PG-13"|4,99|24,99|140,84
"Backlash Undefeated"|"English             "|"Children"|"Kevin"|"Garland"|118|"PG-13"|4,99|24,99|140,84
"Backlash Undefeated"|"English             "|"Children"|"Jane"|"Jackman"|118|"PG-13"|4,99|24,99|140,84
"Backlash Undefeated"|"English             "|"Children"|"Dan"|"Streep"|118|"PG-13"|4,99|24,99|140,84
"Dorado Notting"|"English             "|"Music"|"Jessica"|"Bailey"|139|"NC-17"|4,99|26,99|140,78
"Dorado Notting"|"English             "|"Music"|"Fay"|"Wood"|139|"NC-17"|4,99|26,99|140,78
"Dorado Notting"|"English             "|"Music"|"Audrey"|"Olivier"|139|"NC-17"|4,99|26,99|140,78
"Dorado Notting"|"English             "|"Music"|"Gene"|"Willis"|139|"NC-17"|4,99|26,99|140,78
"Boogie Amelie"|"English             "|"Music"|"Gene"|"Mckellen"|121|"R"|4,99|11,99|140,74
"Boogie Amelie"|"English             "|"Music"|"Nick"|"Degeneres"|121|"R"|4,99|11,99|140,74
"Boogie Amelie"|"English             "|"Music"|"Kevin"|"Bloom"|121|"R"|4,99|11,99|140,74
"Boogie Amelie"|"English             "|"Music"|"Jodie"|"Degeneres"|121|"R"|4,99|11,99|140,74
"Boogie Amelie"|"English             "|"Music"|"Groucho"|"Sinatra"|121|"R"|4,99|11,99|140,74
"Boogie Amelie"|"English             "|"Music"|"Meryl"|"Allen"|121|"R"|4,99|11,99|140,74
"Secrets Paradise"|"English             "|"Family"|"Renee"|"Tracy"|109|"G"|4,99|24,99|139,82
"Secrets Paradise"|"English             "|"Family"|"William"|"Hackman"|109|"G"|4,99|24,99|139,82
"Secrets Paradise"|"English             "|"Family"|"Whoopi"|"Hurt"|109|"G"|4,99|24,99|139,82
"Secrets Paradise"|"English             "|"Family"|"Reese"|"Kilmer"|109|"G"|4,99|24,99|139,82
"Secrets Paradise"|"English             "|"Family"|"Kenneth"|"Hoffman"|109|"G"|4,99|24,99|139,82
"Secrets Paradise"|"English             "|"Family"|"Gene"|"Willis"|109|"G"|4,99|24,99|139,82
"Mine Titans"|"English             "|"New"|"Nick"|"Degeneres"|166|"PG-13"|4,99|12,99|138,83
"Mine Titans"|"English             "|"New"|"Humphrey"|"Garland"|166|"PG-13"|4,99|12,99|138,83
"Pity Bound"|"English             "|"Drama"|"Gene"|"Mckellen"|60|"NC-17"|4,99|19,99|138,77
"Stagecoach Armageddon"|"English             "|"Action"|"Sean"|"Guiness"|112|"R"|4,99|25,99|138,77
"Stagecoach Armageddon"|"English             "|"Action"|"Sandra"|"Peck"|112|"R"|4,99|25,99|138,77
"Stagecoach Armageddon"|"English             "|"Action"|"Morgan"|"Hopkins"|112|"R"|4,99|25,99|138,77
"Stagecoach Armageddon"|"English             "|"Action"|"Woody"|"Jolie"|112|"R"|4,99|25,99|138,77
"Pity Bound"|"English             "|"Drama"|"Goldie"|"Brody"|60|"NC-17"|4,99|19,99|138,77
"Pity Bound"|"English             "|"Drama"|"Gene"|"Hopkins"|60|"NC-17"|4,99|19,99|138,77
"Stagecoach Armageddon"|"English             "|"Action"|"Kirsten"|"Akroyd"|112|"R"|4,99|25,99|138,77
"Stagecoach Armageddon"|"English             "|"Action"|"Karl"|"Berry"|112|"R"|4,99|25,99|138,77
"Pity Bound"|"English             "|"Drama"|"Albert"|"Nolte"|60|"NC-17"|4,99|19,99|138,77
"Pity Bound"|"English             "|"Drama"|"Angela"|"Hudson"|60|"NC-17"|4,99|19,99|138,77
"Streetcar Intentions"|"English             "|"Horror"|"Sandra"|"Kilmer"|73|"R"|4,99|11,99|137,77
"Streetcar Intentions"|"English             "|"Horror"|"Russell"|"Bacall"|73|"R"|4,99|11,99|137,77
"Streetcar Intentions"|"English             "|"Horror"|"Michelle"|"Mcconaughey"|73|"R"|4,99|11,99|137,77
"Streetcar Intentions"|"English             "|"Horror"|"Laurence"|"Bullock"|73|"R"|4,99|11,99|137,77
"Streetcar Intentions"|"English             "|"Horror"|"Ellen"|"Presley"|73|"R"|4,99|11,99|137,77
"Streetcar Intentions"|"English             "|"Horror"|"Christian"|"Akroyd"|73|"R"|4,99|11,99|137,77
"Roses Treasure"|"English             "|"Sports"|"Morgan"|"Williams"|162|"PG-13"|4,99|23,99|137,77
"Roses Treasure"|"English             "|"Sports"|"Humphrey"|"Garland"|162|"PG-13"|4,99|23,99|137,77
"Roses Treasure"|"English             "|"Sports"|"Burt"|"Temple"|162|"PG-13"|4,99|23,99|137,77
"Roses Treasure"|"English             "|"Sports"|"Cuba"|"Olivier"|162|"PG-13"|4,99|23,99|137,77
"Streetcar Intentions"|"English             "|"Horror"|"Vivien"|"Bergen"|73|"R"|4,99|11,99|137,77
"Roses Treasure"|"English             "|"Sports"|"Mary"|"Keitel"|162|"PG-13"|4,99|23,99|137,77
"Fellowship Autumn"|"English             "|"Travel"|"Salma"|"Nolte"|77|"NC-17"|4,99|9,99|137,76
